State,Buddhist,Catholic,Evangelical Protestant,Hindu,Historically Black Protestant,Jehovah's Witness,Jewish,Mainline Protestant,Mormon,Muslim,Orthodox Christian,Other Christian,Other Faiths,Other World Religions,"Unaffiliated (religious ""nones"")",Don't know,"Sample	size"
Alabama,0,0.07,0.49,0,0.16,0,0,0.13,0.01,0,0,0,0.01,0,0.12,0.01,511
Alaska,0.01,0.16,0.22,0,0.03,0,0,0.12,0.05,0,0.05,0,0.04,0.01,0.31,0.01,310
Arizona,0.01,0.21,0.26,0.01,0.01,0.01,0.02,0.12,0.05,0.01,0,0,0.02,0,0.27,0,653
Arkansas,0,0.08,0.46,0,0.08,0,0,0.16,0.01,0.02,0,0,0.01,0,0.18,0,311
California,0.02,0.28,0.2,0.02,0.02,0.01,0.02,0.1,0.01,0.01,0.01,0.01,0.02,0.01,0.27,0.01,3697
Colorado,0.01,0.16,0.26,0,0.02,0,0.01,0.15,0.02,0,0.01,0.01,0.02,0,0.29,0.02,504
Connecticut,0.01,0.33,0.13,0.01,0.05,0,0.03,0.17,0.01,0.01,0.01,0.01,0.02,0,0.23,0.01,377
Delaware,0,0.22,0.15,0.02,0.1,0,0.03,0.21,0,0.01,0.01,0,0.01,0,0.23,0.01,301
District of Columbia,0,0.2,0.08,0.01,0.23,0,0.05,0.1,0.02,0.02,0.01,0,0.01,0,0.25,0.01,303
Florida,0,0.21,0.24,0,0.08,0.01,0.03,0.14,0.01,0,0,0.01,0.02,0,0.24,0,2020
Georgia,0,0.09,0.38,0,0.17,0.02,0.01,0.12,0.01,0,0,0,0.02,0,0.18,0.01,968
Hawaii,0.08,0.2,0.25,0,0.02,0.01,0,0.11,0.03,0,0,0.01,0.01,0,0.26,0.01,312
Idaho,0,0.1,0.21,0,0,0,0,0.16,0.19,0.01,0.01,0,0.02,0,0.27,0.01,320
Illinois,0.01,0.28,0.2,0.01,0.07,0.01,0.02,0.16,0,0.01,0.01,0,0.01,0,0.22,0.01,1326
Indiana,0,0.18,0.31,0,0.05,0,0.01,0.16,0.01,0,0,0,0.01,0,0.26,0,654
Iowa,0,0.18,0.28,0,0.02,0,0,0.3,0,0.01,0,0,0,0,0.21,0.01,330
Kansas,0.01,0.18,0.31,0,0.02,0.01,0,0.24,0.01,0.01,0,0,0.02,0,0.2,0,307
Kentucky,0,0.1,0.49,0,0.05,0,0,0.11,0,0,0,0,0.02,0,0.22,0,439
Louisiana,0.01,0.26,0.27,0,0.22,0.01,0,0.08,0,0,0,0.01,0.01,0,0.13,0,465
Maine,0.01,0.21,0.14,0,0.02,0,0.02,0.21,0.02,0,0,0.01,0.05,0,0.31,0.02,303
Maryland,0.01,0.15,0.18,0.01,0.16,0,0.03,0.18,0.01,0.01,0.01,0.01,0.02,0,0.23,0,644
Massachusetts,0.01,0.34,0.09,0.01,0.02,0,0.03,0.1,0.01,0.01,0.01,0,0.02,0,0.32,0.01,704
Michigan,0.01,0.18,0.25,0,0.08,0.01,0.01,0.18,0,0.01,0,0.01,0.01,0,0.24,0.01,982
Minnesota,0,0.22,0.19,0,0.02,0,0.01,0.29,0.01,0.01,0,0,0.01,0.01,0.2,0.02,563
Mississippi,0,0.04,0.41,0,0.24,0,0,0.12,0.01,0,0,0,0.01,0,0.14,0.01,309
Missouri,0.01,0.16,0.36,0,0.06,0,0,0.16,0.01,0,0,0,0.01,0,0.2,0,642
Montana,0.01,0.17,0.28,0,0,0.01,0,0.14,0.04,0,0.01,0,0.04,0,0.3,0,312
Nebraska,0.01,0.23,0.25,0.01,0.02,0,0,0.24,0.01,0,0,0,0.01,0,0.2,0.01,312
Nevada,0,0.25,0.2,0,0.05,0.01,0.02,0.1,0.04,0,0.01,0,0.03,0,0.28,0.01,314
New Hampshire,0,0.26,0.13,0,0.01,0.02,0.02,0.16,0.01,0,0,0,0.03,0,0.36,0,303
New Jersey,0,0.34,0.13,0.03,0.06,0.01,0.06,0.12,0.01,0.03,0.01,0,0.01,0.01,0.18,0.01,886
New Mexico,0.01,0.34,0.23,0,0.01,0.01,0,0.14,0.02,0,0,0,0.02,0,0.21,0,312
New York,0.01,0.31,0.1,0.01,0.05,0.01,0.07,0.11,0,0.02,0.01,0,0.02,0,0.27,0.01,1966
North Carolina,0,0.09,0.35,0,0.12,0.01,0.01,0.19,0.01,0,0.01,0,0.01,0,0.2,0,1022
North Dakota,0,0.26,0.22,0,0.01,0,0,0.28,0,0.01,0,0,0.02,0,0.2,0,338
Ohio,0.01,0.18,0.29,0,0.07,0.01,0.01,0.17,0.01,0.01,0,0,0.02,0,0.22,0,1132
Oklahoma,0,0.08,0.47,0,0.04,0,0,0.18,0.01,0,0,0,0.01,0,0.18,0.01,391
Oregon,0,0.12,0.29,0,0.01,0,0.02,0.13,0.04,0.01,0.01,0.01,0.03,0.01,0.31,0.01,419
Pennsylvania,0,0.24,0.19,0.01,0.05,0.01,0.01,0.23,0,0.01,0,0,0.02,0,0.21,0.01,1366
Rhode Island,0,0.42,0.14,0.01,0.02,0.02,0.01,0.14,0.01,0,0,0,0.01,0.01,0.2,0.01,305
South Carolina,0,0.1,0.35,0,0.15,0.01,0.01,0.16,0.01,0,0.01,0,0.01,0,0.19,0.01,495
South Dakota,0.01,0.22,0.25,0,0,0,0,0.32,0,0,0,0,0.02,0,0.18,0,305
Tennessee,0.01,0.06,0.52,0,0.08,0.01,0.01,0.13,0.01,0.01,0,0,0.01,0,0.14,0.01,661
Texas,0.01,0.23,0.31,0,0.06,0.01,0.01,0.13,0.01,0.01,0,0.01,0.01,0,0.18,0,2535
Utah,0.01,0.05,0.07,0,0,0,0,0.06,0.55,0.01,0,0,0.02,0,0.22,0.01,315
Vermont,0.01,0.22,0.11,0.01,0,0,0.02,0.19,0,0,0.01,0,0.03,0.01,0.37,0.02,306
Virginia,0.01,0.12,0.3,0,0.12,0,0.01,0.16,0.02,0.01,0.01,0,0.01,0,0.2,0,882
Washington,0.01,0.17,0.25,0.01,0.02,0.02,0.01,0.13,0.03,0,0,0.01,0.03,0,0.32,0.01,714
West Virginia,0,0.06,0.39,0,0.02,0,0.01,0.29,0.02,0.01,0,0,0.01,0,0.18,0.01,309
Wisconsin,0,0.25,0.22,0,0.04,0.01,0.01,0.18,0,0.01,0.01,0,0.01,0,0.25,0,600
Wyoming,0.01,0.14,0.27,0,0,0.03,0,0.16,0.09,0,0,0.01,0.03,0,0.26,0,316