STATE,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,318301008,320635163,322941311,324985539,326687501,328239523,331526933,332048977,333271411
Northeast Region,56006011,56034684,56042330,56059240,56046620,55982803,57430477,57243423,57026847
Midwest Region,67745167,67860583,67987540,68126781,68236628,68329004,68969794,68850246,68783028
South Region,119624037,120997341,122351760,123542189,124569433,125580448,126465281,127353282,128702030
West Region,74925793,75742555,76559681,77257329,77834820,78347268,78661381,78602026,78759506
Alabama,4841799,4852347,4863525,4874486,4887681,4903185,5031864,5050380,5073903
Alaska,736283,737498,741456,739700,735139,731545,732964,734923,733276
Arizona,6730413,6829676,6941072,7044008,7158024,7278717,7186683,7272487,7365684
Arkansas,2967392,2978048,2989918,3001345,3009733,3017804,3014348,3028443,3046404
California,38596972,38918045,39167117,39358497,39461588,39512223,39503200,39145060,39040616
Colorado,5350101,5450623,5539215,5611885,5691287,5758736,5785219,5811596,5841039
Connecticut,3594524,3587122,3578141,3573297,3571520,3565287,3577586,3603691,3608706
Delaware,932487,941252,948921,956823,965479,973764,991862,1004881,1019459
District of Columbia,662328,675400,685815,694906,701547,705749,670839,669037,670949
Florida,19845911,20209042,20613477,20963613,21244317,21477737,21591299,21830708,22245521
Georgia,10067278,10178447,10301890,10410330,10511131,10617423,10732390,10790385,10913150
Hawaii,1414538,1422052,1427559,1424393,1420593,1415872,1451181,1446745,1439399
Idaho,1631112,1651059,1682380,1717715,1750536,1787065,1849339,1904537,1938996
Illinois,12884493,12858913,12820527,12778828,12723071,12671821,12790357,12690341,12582515
Indiana,6593644,6608422,6634304,6658078,6695497,6732219,6789098,6813798,6832274
Iowa,3109350,3120960,3131371,3141550,3148618,3155070,3190904,3197944,3199693
Kansas,2900475,2909011,2910844,2908718,2911359,2913314,2938124,2937946,2936716
Kentucky,4414349,4425976,4438182,4452268,4461153,4467673,4508155,4507600,4511563
Louisiana,4644013,4664628,4678135,4670560,4659690,4648794,4652022,4627047,4588023
Maine,1330513,1328262,1331317,1334612,1339057,1344212,1364517,1378787,1389338
Maryland,5957283,5985562,6003323,6023868,6035802,6045680,6173689,6175045,6163981
Massachusetts,6762596,6794228,6823608,6859789,6882635,6892503,6997713,6991951,6982740
Michigan,9929848,9931715,9950571,9973114,9984072,9986857,10070627,10038117,10033281
Minnesota,5451079,5482032,5522744,5566230,5606249,5639632,5710578,5717968,5714300
Mississippi,2990468,2988471,2987938,2988510,2981020,2976149,2958409,2949582,2938928
Missouri,6056202,6071732,6087135,6106670,6121623,6137428,6154426,6170393,6177168
Montana,1021869,1030475,1040859,1052482,1060665,1068778,1087211,1106366,1122878
Nebraska,1879321,1891277,1905616,1915947,1925614,1934408,1963273,1964253,1968060
Nevada,2817628,2866939,2917563,2969905,3027341,3080156,3115840,3146632,3177421
New Hampshire,1333341,1336350,1342307,1348787,1353465,1359711,1378702,1387494,1399003
New Jersey,8864525,8867949,8870827,8885525,8886025,8882190,9272392,9269175,9260817
New Mexico,2089568,2089291,2091630,2091784,2092741,2096829,2118488,2116950,2113476
New York,19651049,19654666,19633428,19589572,19530351,19453561,20104710,19854526,19673200
North Carolina,9932887,10031646,10154788,10268233,10381615,10488084,10453812,10567100,10695965
North Dakota,737401,754066,754434,754942,758080,762062,779563,777982,778912
Ohio,11602700,11617527,11634370,11659650,11676341,11689100,11798292,11765227,11759697
Oklahoma,3878187,3909500,3926331,3931316,3940235,3956971,3965234,3991634,4019271
Oregon,3963244,4015792,4089976,4143625,4181886,4217737,4245044,4256465,4239379
Pennsylvania,12788313,12784826,12782275,12787641,12800922,12801989,12995477,13013614,12972091
Rhode Island,1055936,1056065,1056770,1055673,1058287,1059361,1096444,1097092,1093842
South Carolina,4823617,4891938,4957968,5021268,5084156,5148714,5132151,5193848,5282955
South Dakota,849129,853988,862996,872868,878698,884659,887852,896299,909869
Tennessee,6541223,6591170,6646010,6708799,6771631,6829174,6926091,6963709,7048976
Texas,26964333,27470056,27914410,28295273,28628666,28995881,29234361,29561286,30029848
Utah,2936879,2981835,3041868,3101042,3153550,3205958,3283982,3339284,3381236
Vermont,625214,625216,623657,624344,624358,623989,642936,647093,647110
Virginia,8310993,8361808,8410106,8463587,8501286,8535519,8637193,8657348,8679099
Washington,7054655,7163657,7294771,7423362,7523869,7614893,7724566,7741433,7784477
West Virginia,1849489,1842050,1831023,1817004,1804291,1792147,1791562,1785249,1774035
Wisconsin,5751525,5760940,5772628,5790186,5807406,5822434,5896700,5879978,5890543
Wyoming,582531,585613,584215,578931,577601,578759,577664,579548,581629
Puerto Rico,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3220113